week_start,week_end,cases,dt_week_release,Time,Median,LI,LS,LIb,LSb
2025-01-05,2025-01-11,2,2025-05-04,NA,NA,NA,NA,NA,NA
2025-01-12,2025-01-18,1,2025-05-04,NA,NA,NA,NA,NA,NA
2025-01-19,2025-01-25,9,2025-05-04,NA,NA,NA,NA,NA,NA
2025-01-26,2025-02-01,16,2025-05-04,NA,NA,NA,NA,NA,NA
2025-02-02,2025-02-08,28,2025-05-04,NA,NA,NA,NA,NA,NA
2025-02-09,2025-02-15,65,2025-05-04,NA,NA,NA,NA,NA,NA
2025-02-16,2025-02-22,87,2025-05-04,NA,NA,NA,NA,NA,NA
2025-02-23,2025-03-01,73,2025-05-04,NA,NA,NA,NA,NA,NA
2025-03-02,2025-03-08,88,2025-05-04,NA,NA,NA,NA,NA,NA
2025-03-09,2025-03-15,84,2025-05-04,NA,NA,NA,NA,NA,NA
2025-03-16,2025-03-22,104,2025-05-04,NA,NA,NA,NA,NA,NA
2025-03-23,2025-03-29,93,2025-05-04,NA,NA,NA,NA,NA,NA
2025-03-30,2025-04-05,114,2025-05-04,NA,NA,NA,NA,NA,NA
2025-04-06,2025-04-12,72,2025-05-04,13,82,80,87,81,83
2025-04-13,2025-04-19,78,2025-05-04,14,84,79,92,82,86
2025-04-20,2025-04-26,41,2025-05-04,15,49,43,59,47,52
2025-04-27,2025-05-03,35,2025-05-04,16,53,42,71,48,59
2025-05-04,2025-05-10,10,2025-05-04,17,49,26,94.04999999999995,39,61
