week_start,week_end,cases,dt_week_release,Time,Median,LI,LS,LIb,LSb
2025-01-05,2025-01-11,2,2025-04-27,NA,NA,NA,NA,NA,NA
2025-01-12,2025-01-18,1,2025-04-27,NA,NA,NA,NA,NA,NA
2025-01-19,2025-01-25,8,2025-04-27,NA,NA,NA,NA,NA,NA
2025-01-26,2025-02-01,16,2025-04-27,NA,NA,NA,NA,NA,NA
2025-02-02,2025-02-08,28,2025-04-27,NA,NA,NA,NA,NA,NA
2025-02-09,2025-02-15,66,2025-04-27,NA,NA,NA,NA,NA,NA
2025-02-16,2025-02-22,85,2025-04-27,NA,NA,NA,NA,NA,NA
2025-02-23,2025-03-01,72,2025-04-27,NA,NA,NA,NA,NA,NA
2025-03-02,2025-03-08,86,2025-04-27,NA,NA,NA,NA,NA,NA
2025-03-09,2025-03-15,82,2025-04-27,NA,NA,NA,NA,NA,NA
2025-03-16,2025-03-22,101,2025-04-27,NA,NA,NA,NA,NA,NA
2025-03-23,2025-03-29,92,2025-04-27,NA,NA,NA,NA,NA,NA
2025-03-30,2025-04-05,111,2025-04-27,12,113,111,119,112,115
2025-04-06,2025-04-12,70,2025-04-27,13,85,80,96,83,88
2025-04-13,2025-04-19,74,2025-04-27,14,84,77,96,81,87
2025-04-20,2025-04-26,36,2025-04-27,15,57,44,80,52,63
2025-04-27,2025-05-03,4,2025-04-27,16,43,17,94.02499999999998,33,57.25
