week_start,week_end,cases,dt_week_release,Time,Median,LI,LS,LIb,LSb
2025-01-05,2025-01-11,2,2025-03-30,NA,NA,NA,NA,NA,NA
2025-01-12,2025-01-18,1,2025-03-30,NA,NA,NA,NA,NA,NA
2025-01-19,2025-01-25,8,2025-03-30,NA,NA,NA,NA,NA,NA
2025-01-26,2025-02-01,16,2025-03-30,NA,NA,NA,NA,NA,NA
2025-02-02,2025-02-08,25,2025-03-30,NA,NA,NA,NA,NA,NA
2025-02-09,2025-02-15,65,2025-03-30,NA,NA,NA,NA,NA,NA
2025-02-16,2025-02-22,85,2025-03-30,NA,NA,NA,NA,NA,NA
2025-02-23,2025-03-01,70,2025-03-30,NA,NA,NA,NA,NA,NA
2025-03-02,2025-03-08,83,2025-03-30,8,85,83,89,84,86
2025-03-09,2025-03-15,69,2025-03-30,9,77,71,87,75,80
2025-03-16,2025-03-22,85,2025-03-30,10,102,93,117,99,107
2025-03-23,2025-03-29,71,2025-03-30,11,132,104,173,121,143
2025-03-30,2025-04-05,26,2025-03-30,12,185,115,351.07499999999993,156,232
